City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
33,Masvingo,-20.0637,30.8277,70.97,63,93,4.52,ZW,2022-02-01 21:14:52
34,Rikitea,-23.1203,-134.9692,78.21,70,91,5.97,PF,2022-02-01 21:14:52
35,Belmira,6.6051,-75.6662,71.96,55,52,3.56,CO,2022-02-01 21:14:53
36,Polyarnyy,69.1989,33.4478,12.94,98,100,2.13,RU,2022-02-01 21:14:53
37,Busselton,-33.65,115.3333,61.05,67,21,18.28,AU,2022-02-01 21:14:54
38,Coquimbo,-29.9533,-71.3436,69.53,64,0,11.5,CL,2022-02-01 21:12:27
39,Butaritari,3.0707,172.7902,81.55,76,55,10.45,KI,2022-02-01 21:14:55
40,Padang,-0.9492,100.3543,75.96,87,100,3.42,ID,2022-02-01 21:14:55
41,Mackay,-21.15,149.2,80.69,82,100,5.88,AU,2022-02-01 21:13:22
42,Poum,-20.2333,164.0167,81.12,76,64,10.11,NC,2022-02-01 21:15:56
43,Verkhnyaya Inta,65.9811,60.3094,-2.16,90,30,6.33,RU,2022-02-01 21:15:57
44,Kruisfontein,-34.0033,24.7314,74.88,68,100,4.94,ZA,2022-02-01 21:15:57
45,Shedok,44.2179,40.8487,31.39,82,100,4.88,RU,2022-02-01 21:15:58
46,Mayo,38.8876,-76.5119,44.19,63,0,5.01,US,2022-02-01 21:15:58
47,Santa Rosalia,27.3167,-112.2833,70.61,30,40,5.12,MX,2022-02-01 21:15:59
48,Karratha,-20.7377,116.8463,83.43,75,92,10.96,AU,2022-02-01 21:15:59
49,New Norfolk,-42.7826,147.0587,54.9,57,8,1.01,AU,2022-02-01 21:15:59
50,Bluff,-46.6,168.3333,72.81,71,100,13.18,NZ,2022-02-01 21:16:00
51,Sobolevo,54.4299,31.8996,16.83,96,100,8.88,RU,2022-02-01 21:16:00
52,Castro,-24.7911,-50.0119,75.72,72,4,4.79,BR,2022-02-01 21:16:01
53,Bredasdorp,-34.5322,20.0403,74.8,78,4,2.3,ZA,2022-02-01 21:16:02
54,Barrow,71.2906,-156.7887,-16.58,69,40,5.75,US,2022-02-01 21:16:02
55,Bay City,43.5945,-83.8889,46.89,57,100,12.66,US,2022-02-01 21:16:03
56,Kahului,20.8947,-156.47,80.62,67,75,14.97,US,2022-02-01 21:16:03
57,Katherine,-14.4667,132.2667,75.52,88,64,6.91,AU,2022-02-01 21:16:04
58,Yellowknife,62.456,-114.3525,-17.59,73,0,8.05,CA,2022-02-01 21:16:04
59,Jalu,29.0331,21.5482,58.01,34,91,13.13,LY,2022-02-01 21:11:55
60,Khatanga,71.9667,102.5,-36.4,99,22,2.46,RU,2022-02-01 21:16:05
61,Port Alfred,-33.5906,26.891,77.23,82,100,9.15,ZA,2022-02-01 21:16:05
62,Krasnokholm,51.5979,54.1567,32.02,97,100,10.98,RU,2022-02-01 21:16:06
63,Ligatne,57.2343,25.0406,24.26,95,100,1.01,LV,2022-02-01 21:16:06
64,Hithadhoo,-0.6,73.0833,82.45,72,5,11.39,MV,2022-02-01 21:16:07
65,Arman,59.7,150.1667,-1.5,80,37,11.83,RU,2022-02-01 21:16:08
66,Havoysund,70.9963,24.6622,25.68,63,94,7.78,NO,2022-02-01 21:16:08
67,Bethel,41.3712,-73.414,35.69,63,75,8.05,US,2022-02-01 21:16:08
68,Orumiyeh,37.5527,45.0761,22.55,80,0,6.91,IR,2022-02-01 21:16:09
69,Kloulklubed,7.0419,134.2556,81.1,82,100,16.91,PW,2022-02-01 21:16:09
70,Darasun,51.6667,114.0,-24.39,100,45,2.64,RU,2022-02-01 21:16:10
71,Bambous Virieux,-20.3428,57.7575,79.05,100,75,18.41,MU,2022-02-01 21:16:10
72,Boa Vista,2.8197,-60.6733,89.58,45,40,16.11,BR,2022-02-01 21:16:11
73,Calabozo,8.9242,-67.4293,96.73,23,61,5.23,VE,2022-02-01 21:16:11
74,Riohacha,11.5444,-72.9072,84.31,74,20,16.11,CO,2022-02-01 21:16:12
75,Koson,39.0375,65.585,46.72,34,100,6.62,UZ,2022-02-01 21:16:13
76,Nikolskoye,59.7035,30.7861,24.69,98,100,2.86,RU,2022-02-01 21:16:13
77,Tsiroanomandidy,-18.7667,46.0333,70.79,71,37,1.7,MG,2022-02-01 21:16:14
78,Albany,42.6001,-73.9662,34.88,53,42,1.99,US,2022-02-01 21:12:10
79,Mahebourg,-20.4081,57.7,79.09,100,75,18.41,MU,2022-02-01 21:16:15
80,Faanui,-16.4833,-151.75,80.53,76,9,19.35,PF,2022-02-01 21:16:15
81,Leningradskiy,69.3833,178.4167,-12.05,94,44,11.16,RU,2022-02-01 21:16:16
82,Torbay,47.6666,-52.7314,25.57,59,20,17.27,CA,2022-02-01 21:16:16
83,Novyy Yarychiv,49.9044,24.3052,31.33,86,99,9.71,UA,2022-02-01 21:16:17
84,Cayenne,4.9333,-52.3333,73.44,92,75,8.05,GF,2022-02-01 21:16:17
85,Roebourne,-20.7833,117.1333,83.43,74,98,10.27,AU,2022-02-01 21:16:18
86,Pidhorodne,48.5753,35.1068,31.24,95,100,1.14,UA,2022-02-01 21:16:19
87,Taoudenni,22.6783,-3.9836,73.44,18,2,10.07,ML,2022-02-01 21:16:19
88,Najran,17.4924,44.1277,68.65,37,3,3.2,SA,2022-02-01 21:17:20
89,Kodiak,57.79,-152.4072,38.71,100,100,9.22,US,2022-02-01 21:17:20
90,Saint-Philippe,-21.3585,55.7679,81.95,91,96,21.39,RE,2022-02-01 21:17:21
91,Clyde River,70.4692,-68.5914,-18.17,63,100,4.61,CA,2022-02-01 21:17:22
92,Cherskiy,68.75,161.3,-6.02,80,82,3.36,RU,2022-02-01 21:17:22
93,Graham,47.0529,-122.2943,43.29,79,100,3.44,US,2022-02-01 21:15:34
94,Druskininkai,54.0167,23.9667,27.72,94,100,8.46,LT,2022-02-01 21:17:23
95,Cape Town,-33.9258,18.4232,70.12,84,20,9.22,ZA,2022-02-01 21:17:05
96,Waipawa,-41.4122,175.5153,70.43,54,100,8.88,NZ,2022-02-01 21:17:23
97,Saskylakh,71.9167,114.0833,-28.08,100,51,1.39,RU,2022-02-01 21:17:24
98,Springfield,37.2153,-93.2982,62.98,66,100,8.01,US,2022-02-01 21:14:51
99,Vostok,46.4856,135.8833,-8.39,99,100,4.45,RU,2022-02-01 21:17:25
100,Upernavik,72.7868,-56.1549,-15.21,73,100,6.78,GL,2022-02-01 21:17:25
101,Fairbanks,64.8378,-147.7164,-4.4,74,20,0.0,US,2022-02-01 21:17:26
102,Waingapu,-9.6567,120.2641,77.32,84,7,9.24,ID,2022-02-01 21:17:26
103,Sinnamary,5.3833,-52.95,77.97,85,99,13.56,GF,2022-02-01 21:17:27
104,High Level,58.5169,-117.136,-5.69,65,40,9.22,CA,2022-02-01 21:17:27
105,Ancud,-41.8697,-73.8203,65.73,81,100,8.57,CL,2022-02-01 21:17:28
106,Arraial Do Cabo,-22.9661,-42.0278,78.76,89,75,6.91,BR,2022-02-01 21:17:28
107,Half Moon Bay,37.4636,-122.4286,62.82,33,0,4.0,US,2022-02-01 21:17:29
108,Benoy,8.9833,16.3199,72.64,16,9,5.06,TD,2022-02-01 21:17:29
109,Trairi,-3.2778,-39.2689,80.42,77,100,12.59,BR,2022-02-01 21:17:30
110,Mar Del Plata,-38.0023,-57.5575,84.22,67,0,15.01,AR,2022-02-01 21:17:30
111,San Vicente,-26.6167,-54.1333,93.07,16,4,4.85,AR,2022-02-01 21:17:31
112,Chalchihuites,23.4833,-103.8833,68.41,7,0,17.98,MX,2022-02-01 21:17:31
113,Vila Franca Do Campo,37.7167,-25.4333,58.19,79,84,11.12,PT,2022-02-01 21:17:32
114,Carnarvon,-24.8667,113.6333,73.47,88,40,8.05,AU,2022-02-01 21:17:32
115,Giyani,-23.3025,30.7187,72.28,74,0,3.02,ZA,2022-02-01 21:17:33
116,Middleton,53.55,-2.2,50.41,86,100,15.46,GB,2022-02-01 21:17:33
117,Palmares Do Sul,-30.2578,-50.5097,75.13,63,2,11.56,BR,2022-02-01 21:17:34
118,Kanturk,52.1667,-8.9,48.79,82,94,11.95,IE,2022-02-01 21:17:34
119,Atuona,-9.8,-139.0333,78.57,70,17,21.61,PF,2022-02-01 21:17:35
120,Ilulissat,69.2167,-51.1,1.42,51,75,3.44,GL,2022-02-01 21:17:36
121,Constitucion,-35.3333,-72.4167,66.18,64,4,5.82,CL,2022-02-01 21:15:56
122,Touros,-5.1989,-35.4608,83.3,75,62,11.99,BR,2022-02-01 21:17:36
123,Provideniya,64.3833,-173.3,14.11,57,20,26.84,RU,2022-02-01 21:16:25
124,Lokosovo,61.1333,74.8167,0.21,98,98,4.32,RU,2022-02-01 21:17:37
125,Oksfjord,70.2396,22.3479,25.72,52,90,10.54,NO,2022-02-01 21:17:37
126,Nishihara,26.1842,127.7558,62.65,94,100,8.05,JP,2022-02-01 21:17:38
127,Narsaq,60.9167,-46.05,19.62,86,63,3.49,GL,2022-02-01 21:17:38
128,Antofagasta,-23.65,-70.4,70.88,67,1,8.88,CL,2022-02-01 21:17:39
129,Mahajanga,-15.7167,46.3167,80.62,89,20,1.14,MG,2022-02-01 21:17:40
130,Dagana,16.5165,-15.5068,83.77,10,71,11.54,MR,2022-02-01 21:17:40
131,Ponca City,36.707,-97.0856,62.42,63,100,0.0,US,2022-02-01 21:17:41
