City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
116,Castro,-24.7911,-50.0119,60.13,89,6,2.08,BR,2022-02-07 04:52:43,Clear
117,Privolzhskiy,51.4,46.0333,21.7,97,91,2.04,RU,2022-02-07 04:52:44,Clouds
118,Mar Del Plata,-38.0023,-57.5575,65.08,77,40,3.0,AR,2022-02-07 04:52:44,Clouds
119,Caravelas,-17.7125,-39.2481,74.91,90,42,5.1,BR,2022-02-07 04:52:44,Clouds
120,Camacha,33.0833,-16.3333,59.76,67,40,13.8,PT,2022-02-07 04:52:45,Clouds
121,Hovd,48.0056,91.6419,-5.33,71,8,3.36,MN,2022-02-07 04:52:46,Clear
122,Qaanaaq,77.484,-69.3632,-11.18,59,27,7.38,GL,2022-02-07 04:52:46,Clouds
123,Kodiak,57.79,-152.4072,35.11,48,0,13.8,US,2022-02-07 04:49:40,Clear
124,Rio Gallegos,-51.6226,-69.2181,64.45,45,0,32.21,AR,2022-02-07 04:51:15,Clear
125,Alyangula,-13.8483,136.4192,87.67,66,48,8.05,AU,2022-02-07 04:52:47,Clouds
126,Maarianhamina,60.0973,19.9348,26.46,93,0,2.3,AX,2022-02-07 04:52:48,Clear
127,Kattivakkam,13.2167,80.3167,85.06,67,32,7.11,IN,2022-02-07 04:52:48,Clouds
128,Vendas Novas,38.6771,-8.4579,47.82,61,9,5.28,PT,2022-02-07 04:52:49,Clear
129,Nuuk,64.1835,-51.7216,7.88,84,100,8.01,GL,2022-02-07 04:52:49,Clouds
130,Rusape,-18.5278,32.1284,60.04,93,98,6.91,ZW,2022-02-07 04:52:50,Clouds
131,Ancud,-41.8697,-73.8203,53.13,90,4,2.21,CL,2022-02-07 04:48:11,Clear
132,Nara,34.6851,135.8049,48.96,42,88,8.63,JP,2022-02-07 04:52:50,Clouds
133,Jamestown,42.097,-79.2353,28.71,45,0,8.05,US,2022-02-07 04:52:43,Clear
134,Tazovskiy,67.4667,78.7,-24.54,100,92,3.36,RU,2022-02-07 04:52:51,Clouds
135,Ponta Delgada,37.7333,-25.6667,59.5,82,75,8.05,PT,2022-02-07 04:43:37,Clouds
136,Mount Isa,-20.7333,139.5,92.97,31,45,8.05,AU,2022-02-07 04:52:52,Clouds
137,Torbay,47.6666,-52.7314,12.58,81,75,14.97,CA,2022-02-07 04:52:52,Clouds
138,Longyearbyen,78.2186,15.6401,15.82,89,100,5.59,SJ,2022-02-07 04:52:22,Clouds
139,Gemena,3.25,19.7667,66.79,37,92,3.29,CD,2022-02-07 04:52:53,Clouds
140,Dingle,10.9995,122.6711,84.56,62,44,15.05,PH,2022-02-07 04:53:53,Clouds
141,Havelock,34.8791,-76.9013,41.94,86,100,1.01,US,2022-02-07 04:53:54,Clouds
142,Hermanus,-34.4187,19.2345,66.79,92,59,2.24,ZA,2022-02-07 04:51:45,Clouds
143,Souillac,-20.5167,57.5167,81.36,75,100,10.87,MU,2022-02-07 04:53:54,Clouds
144,Mareeba,-17.0,145.4333,84.43,68,50,6.08,AU,2022-02-07 04:53:55,Clouds
145,Tekeli,44.83,78.8239,28.89,95,100,4.76,KZ,2022-02-07 04:53:55,Snow
146,Arinos,-15.9169,-46.1056,67.37,97,100,0.94,BR,2022-02-07 04:53:56,Clouds
147,Vuktyl,63.8567,57.3094,10.13,83,100,7.81,RU,2022-02-07 04:53:56,Clouds
148,Padang,-0.9492,100.3543,86.05,65,100,2.98,ID,2022-02-07 04:53:57,Rain
149,Lompoc,34.6391,-120.4579,59.52,84,0,3.44,US,2022-02-07 04:53:26,Clear
150,Kavieng,-2.5744,150.7967,83.89,69,72,2.04,PG,2022-02-07 04:53:57,Clouds
151,Tezu,27.9167,96.1667,67.19,41,1,4.27,IN,2022-02-07 04:53:58,Clear
152,Antibes,43.5624,7.1278,56.44,80,20,11.5,FR,2022-02-07 04:53:58,Clouds
153,Emerald,-23.5333,148.1667,86.14,35,75,4.61,AU,2022-02-07 04:53:59,Clouds
154,Nalut,30.3333,10.85,51.85,27,97,8.75,LY,2022-02-07 04:53:11,Clouds
155,Vilyuysk,63.7553,121.6247,-15.86,95,100,7.27,RU,2022-02-07 04:51:17,Clouds
156,Tuktoyaktuk,69.4541,-133.0374,-31.0,75,75,12.66,CA,2022-02-07 04:50:37,Mist
157,Te Anau,-45.4167,167.7167,71.38,41,23,2.33,NZ,2022-02-07 04:46:29,Clouds
158,Sorland,67.667,12.6934,30.27,60,99,22.73,NO,2022-02-07 04:54:00,Clouds
159,Saint-Philippe,-21.3585,55.7679,81.99,82,95,15.52,RE,2022-02-07 04:54:01,Clouds
160,Vostok,46.4856,135.8833,7.39,82,99,6.96,RU,2022-02-07 04:54:01,Clouds
161,Constitucion,-35.3333,-72.4167,57.13,81,0,2.71,CL,2022-02-07 04:54:02,Clear
162,Adrar,20.5022,-10.0711,61.63,11,2,10.09,MR,2022-02-07 04:54:02,Clear
163,Pizarro,4.9533,-77.366,76.1,85,50,1.79,CO,2022-02-07 04:54:03,Rain
164,Ilulissat,69.2167,-51.1,-4.86,98,100,8.01,GL,2022-02-07 04:54:03,Clouds
165,Barra Patuca,15.8,-84.2833,74.34,67,14,5.7,HN,2022-02-07 04:54:04,Clouds
166,Vanimo,-2.6741,141.3028,83.14,73,100,4.41,PG,2022-02-07 04:54:04,Clouds
167,Kaohsiung,22.6163,120.3133,71.69,71,75,3.0,TW,2022-02-07 04:54:05,Clouds
168,Nikel,69.4128,30.222,19.58,94,58,6.33,RU,2022-02-07 04:54:05,Clouds
169,Macusani,-14.0833,-70.4333,36.07,90,100,0.87,PE,2022-02-07 04:54:06,Clouds
170,Provideniya,64.3833,-173.3,-0.29,65,4,4.47,RU,2022-02-07 04:53:48,Clear
171,Port Blair,11.6667,92.75,82.44,78,40,12.66,IN,2022-02-07 04:51:07,Clouds
172,Goderich,43.7501,-81.7165,28.9,69,98,13.8,CA,2022-02-07 04:50:42,Clouds
173,Kommunisticheskiy,61.6789,64.4819,7.95,94,100,7.96,RU,2022-02-07 04:54:07,Clouds
174,Itarema,-2.9248,-39.9167,76.95,84,2,7.2,BR,2022-02-07 04:53:17,Clear
175,Zeya,53.75,127.2667,6.91,63,46,2.33,RU,2022-02-07 04:53:47,Clouds
176,College,64.8569,-147.8028,-5.91,79,100,4.05,US,2022-02-07 04:53:21,Clouds
177,Saiha,22.4833,92.9667,72.41,21,7,4.0,IN,2022-02-07 04:54:08,Clear
178,Esqueda,30.7167,-109.5833,45.57,26,2,10.4,MX,2022-02-07 04:54:09,Clear
179,Charleston,32.7766,-79.9309,47.01,74,100,5.99,US,2022-02-07 04:54:09,Clouds
180,Georgetown,5.4112,100.3354,88.9,74,20,3.0,MY,2022-02-07 04:50:56,Clouds
181,Uyskoye,54.3775,60.0047,10.15,90,100,3.71,RU,2022-02-07 04:54:10,Clouds
182,Krasnoselkup,65.7,82.4667,-18.17,99,42,6.73,RU,2022-02-07 04:54:11,Clouds
183,Ilhabela,-23.7781,-45.3581,75.94,94,100,3.96,BR,2022-02-07 04:54:11,Rain
184,Meulaboh,4.1363,96.1285,79.59,82,98,4.41,ID,2022-02-07 04:54:12,Clouds
185,Norman Wells,65.282,-126.8329,-12.96,70,100,20.71,CA,2022-02-07 04:54:12,Snow
186,Asau,46.4333,26.4,33.96,67,100,7.78,RO,2022-02-07 04:54:13,Clouds
187,Cayenne,4.9333,-52.3333,80.1,87,75,4.0,GF,2022-02-07 04:53:06,Clouds
188,Pangoa,-12.1167,-73.0,67.23,89,100,2.62,PE,2022-02-07 04:55:13,Clouds
189,Filingue,14.3521,3.3168,63.19,14,0,10.83,NE,2022-02-07 04:55:14,Clear
190,Pisco,-13.7,-76.2167,66.02,94,40,4.61,PE,2022-02-07 04:55:14,Clouds
191,Callaway,30.153,-85.5699,49.17,88,0,1.99,US,2022-02-07 04:55:15,Clear
192,Antofagasta,-23.65,-70.4,63.68,76,19,1.74,CL,2022-02-07 04:55:15,Clouds
193,Namibe,-15.1961,12.1522,72.95,68,93,7.34,AO,2022-02-07 04:54:17,Clouds
194,Mancio Lima,-7.6142,-72.8958,73.06,97,100,2.08,BR,2022-02-07 04:55:16,Clouds
195,Tiksi,71.6872,128.8694,-18.04,98,100,6.93,RU,2022-02-07 04:55:16,Clouds
196,Hasaki,35.7333,140.8333,46.8,31,6,3.33,JP,2022-02-07 04:55:17,Clear
197,Lavrentiya,65.5833,-171.0,-20.47,91,59,8.88,RU,2022-02-07 04:55:17,Clouds
198,Boa Vista,2.8197,-60.6733,82.38,65,20,8.05,BR,2022-02-07 04:55:18,Clouds
199,Stephenville Crossing,48.5,-58.4318,15.93,57,75,18.41,CA,2022-02-07 04:55:18,Clouds
200,Kemise,10.7167,39.8667,62.2,83,89,3.18,ET,2022-02-07 04:55:19,Clouds
201,Yinchuan,38.4681,106.2731,26.04,68,100,2.28,CN,2022-02-07 04:55:20,Clouds
202,Zalantun,48.0,122.7167,18.59,59,10,5.88,CN,2022-02-07 04:55:20,Clear
203,Saskylakh,71.9167,114.0833,-26.66,100,91,4.59,RU,2022-02-07 04:55:21,Clouds
204,Arkhipo-Osipovka,44.37,38.52,41.34,73,99,18.16,RU,2022-02-07 04:55:21,Clouds
205,Faya,18.3851,42.4509,50.52,77,11,2.66,SA,2022-02-07 04:55:22,Clouds
206,Akdepe,42.0551,59.3788,30.29,56,98,8.55,TM,2022-02-07 04:55:22,Clouds
207,Beloha,-25.1667,45.05,74.73,91,100,12.46,MG,2022-02-07 04:54:03,Rain
208,San Jose,37.3394,-121.895,57.06,60,0,4.61,US,2022-02-07 04:51:10,Clear
209,Palmer,42.1584,-72.3287,21.69,79,75,0.0,US,2022-02-07 04:55:23,Clouds
210,Viedma,-40.8135,-62.9967,60.31,79,0,8.08,AR,2022-02-07 04:52:10,Clear
211,Cherdyn,60.403,56.4787,3.07,95,100,4.32,RU,2022-02-07 04:55:24,Clouds
212,Kamiiso,41.8167,140.65,30.58,69,75,17.27,JP,2022-02-07 04:55:24,Snow
213,Gurupi,-11.7292,-49.0686,71.73,96,100,3.2,BR,2022-02-07 04:55:25,Clouds
214,Neuquen,-38.9516,-68.0591,73.29,35,0,6.91,AR,2022-02-07 04:55:25,Clear
215,Geraldton,-28.7667,114.6,78.13,31,40,20.71,AU,2022-02-07 04:55:26,Clouds
216,Riberalta,-10.9833,-66.1,72.39,99,100,2.3,BO,2022-02-07 04:55:26,Clouds
217,Xining,36.6167,101.7667,18.07,58,70,2.04,CN,2022-02-07 04:55:27,Clouds
218,Nantucket,41.2835,-70.0995,34.14,72,0,11.5,US,2022-02-07 04:50:40,Clear
219,Road Town,18.4167,-64.6167,75.99,74,88,23.51,VG,2022-02-07 04:53:27,Clouds
220,Hwange,-18.3693,26.5019,66.06,79,33,4.74,ZW,2022-02-07 04:55:28,Clouds
221,Katsuura,35.1333,140.3,48.24,32,27,2.35,JP,2022-02-07 04:55:28,Clouds
222,Salalah,17.0151,54.0924,71.46,28,67,17.43,OM,2022-02-07 04:53:33,Clouds
223,Acapulco,16.8634,-99.8901,77.14,72,9,7.38,MX,2022-02-07 04:52:43,Clear
224,Eucaliptus,-17.5833,-67.5167,44.82,81,100,6.17,BO,2022-02-07 04:55:29,Clouds
225,Nizhniy Tsasuchey,50.5167,115.1333,20.59,72,7,10.22,RU,2022-02-07 04:55:30,Clear
226,Carnarvon,-24.8667,113.6333,80.67,36,5,23.02,AU,2022-02-07 04:55:30,Clear
227,Talnakh,69.4865,88.3972,-26.07,95,56,2.08,RU,2022-02-07 04:55:31,Clouds
228,Valle De Allende,26.9333,-105.4,47.26,28,72,9.55,MX,2022-02-07 04:55:31,Clouds
229,Kytmanovo,53.4593,85.4479,8.98,93,100,1.9,RU,2022-02-07 04:55:32,Clouds
230,Tabou,4.423,-7.3528,78.03,85,99,5.12,CI,2022-02-07 04:55:32,Rain
231,Dubbo,-32.25,148.6167,78.93,38,40,11.5,AU,2022-02-07 04:55:30,Clouds
232,Kagoro,9.6,8.3833,63.45,27,0,5.26,NG,2022-02-07 04:55:33,Clear
233,Staryy Nadym,65.6118,72.6842,-11.09,100,95,9.57,RU,2022-02-07 04:55:33,Clouds
234,Veraval,20.9,70.3667,70.99,54,6,7.0,IN,2022-02-07 04:56:26,Clear
235,Arraial Do Cabo,-22.9661,-42.0278,74.86,93,1,14.88,BR,2022-02-07 04:56:34,Clear
236,Ulladulla,-35.35,150.4667,72.5,60,24,13.15,AU,2022-02-07 04:56:35,Clouds
237,Saint George,37.1041,-113.5841,48.63,29,0,5.66,US,2022-02-07 04:56:35,Clear
238,Malkerns,-26.5667,31.1833,66.43,88,40,2.98,SZ,2022-02-07 04:56:36,Clouds
239,Baykit,61.67,96.37,3.2,91,43,2.57,RU,2022-02-07 04:56:36,Clouds
240,Guane,22.2025,-84.0875,66.42,81,0,5.37,CU,2022-02-07 04:56:37,Clear
241,Calama,-22.4667,-68.9333,48.69,18,42,13.8,CL,2022-02-07 04:56:37,Clouds
242,Harper,4.375,-7.7169,78.06,85,99,5.35,LR,2022-02-07 04:56:38,Rain
243,Tobias Barreto,-11.1839,-37.9983,72.72,93,98,5.41,BR,2022-02-07 04:56:38,Clouds
244,Pangnirtung,66.1451,-65.7125,-38.67,95,100,4.85,CA,2022-02-07 04:56:39,Clouds
245,Seguela,7.9611,-6.6731,68.94,38,91,1.59,CI,2022-02-07 04:56:39,Clouds
246,Makakilo City,21.3469,-158.0858,73.0,74,0,14.18,US,2022-02-07 04:56:23,Clear
247,Westport,41.1415,-73.3579,31.44,77,56,3.0,US,2022-02-07 04:54:37,Clouds
248,Huarmey,-10.0681,-78.1522,71.01,80,100,6.15,PE,2022-02-07 04:56:40,Clouds
249,Bontang,0.1333,117.5,84.69,69,100,13.42,ID,2022-02-07 04:56:40,Clouds
250,Mangrol,21.1167,70.1167,70.16,55,5,7.16,IN,2022-02-07 04:53:07,Clear
251,Najran,17.4924,44.1277,48.85,50,41,2.73,SA,2022-02-07 04:56:41,Clouds
252,Nainpur,22.4333,80.1167,75.56,18,0,3.42,IN,2022-02-07 04:56:42,Clear
253,Jingdezhen,29.2947,117.2079,36.81,99,100,2.33,CN,2022-02-07 04:56:42,Rain
254,Pervomayskoye,43.919,46.7102,34.36,69,92,11.81,RU,2022-02-07 04:56:43,Clouds
255,San Cristobal,7.7669,-72.225,69.98,83,63,1.39,VE,2022-02-07 04:51:56,Clouds
256,Alta Floresta,-9.8756,-56.0861,71.15,97,95,1.79,BR,2022-02-07 04:56:43,Clouds
257,Kaeo,-35.1,173.7833,76.32,96,100,6.26,NZ,2022-02-07 04:56:44,Clouds
258,Lebu,-37.6167,-73.65,58.28,93,5,13.67,CL,2022-02-07 04:56:44,Clear
259,Kruisfontein,-34.0033,24.7314,71.73,60,0,5.35,ZA,2022-02-07 04:56:45,Clear
260,Findhorn,57.6572,-3.6085,37.35,86,69,10.94,GB,2022-02-07 04:56:45,Clouds
261,Sulangan,11.1373,123.7228,81.57,70,52,7.92,PH,2022-02-07 04:56:46,Clouds
262,Mezen,65.8522,44.24,11.26,92,99,10.11,RU,2022-02-07 04:56:46,Clouds
263,Chopinzinho,-25.8558,-52.5233,56.98,73,8,3.96,BR,2022-02-07 04:56:47,Clear
264,Puerto Carreno,6.189,-67.4859,81.05,60,69,0.47,CO,2022-02-07 04:56:47,Clouds
265,Tinsukia,27.5,95.3667,67.86,55,0,0.81,IN,2022-02-07 04:56:48,Clear
266,Marzuq,14.4,46.4667,62.28,42,100,2.77,YE,2022-02-07 04:56:48,Clouds
267,Keti Bandar,24.1447,67.4497,72.97,67,8,8.03,PK,2022-02-07 04:56:48,Clear
268,Beringovskiy,63.05,179.3167,-17.16,95,19,5.91,RU,2022-02-07 04:56:49,Clouds
